date,ticker,sentiment
2025-05-08,OKLO,neutral
2025-05-08,OKLO,bearish
2025-05-07,OKLO,neutral
2025-05-01,OKLO,neutral
2025-05-08,HOOD,bullish
2025-05-08,HOOD,neutral
2025-05-08,HOOD,bullish
2025-05-07,HOOD,neutral
2025-05-07,HOOD,bullish
2025-05-07,HOOD,bullish
2025-05-07,HOOD,bullish
2025-05-07,HOOD,neutral
2025-05-07,HOOD,neutral
2025-05-07,HOOD,neutral
2025-05-08,OKLO,bullish
2025-05-08,OKLO,bearish
2025-05-07,OKLO,neutral
2025-05-01,OKLO,neutral
2025-05-08,HOOD,bullish
2025-05-08,HOOD,neutral
2025-05-08,HOOD,bullish
2025-05-07,HOOD,neutral
2025-05-07,HOOD,bullish
2025-05-07,HOOD,bullish
2025-05-07,HOOD,bullish
2025-05-07,HOOD,neutral
2025-05-07,HOOD,neutral
2025-05-07,HOOD,neutral
2025-05-08,PLTR,neutral
2025-05-08,PLTR,bullish
2025-05-08,PLTR,neutral
2025-05-08,PLTR,neutral
2025-05-08,PLTR,neutral
2025-05-08,PLTR,bullish
2025-05-08,PLTR,bullish
2025-05-08,PLTR,bearish
2025-05-07,PLTR,neutral
2025-05-07,PLTR,bullish
